type,parrallelisation_flag,Amount_threads,N,time_use,result,relative_error,standard_deviation
goodMonteCarlo,yes,4,1000000,0.189968,0.19356,0.00411965,0.00102258
badMonteCarlo,yes,4,10000000,0.883478,0.195759,0.0155291,0.00371057
goodMonteCarlo,yes,4,10000000,1.27937,0.192227,0.00279704,0.000324403
badMonteCarlo,yes,4,100000000,8.97392,0.191983,0.00405784,0.000938308
goodMonteCarlo,yes,4,100000000,13.1336,0.192726,0.000207161,0.000103068
badMonteCarlo,yes,4,1000000000,89.3946,0.192311,0.00235853,0.000358555
goodMonteCarlo,yes,4,1000000000,135.344,0.192751,7.55612e-05,3.28774e-05

gauleg,no,1,10,0.037798,0.129834,0.326466,0
gaulag,no,1,10,0.108124,0.177081,0.0813679,0
gauleg,no,1,15,0.425378,0.199475,0.0348043,0
gaulag,no,1,15,1.11663,0.193285,0.00269565,0
gauleg,no,1,20,2.38897,0.177065,0.0814488,0
gaulag,no,1,20,6.91028,0.194786,0.0104784,0
gauleg,no,4,10,0.0246557,4.2511e+228,2.20532e+229,0
gaulag,no,4,10,0.0510072,0.177081,0.0813679,0
gauleg,no,4,15,0.135548,4.2511e+228,2.20532e+229,0
gaulag,no,4,15,0.412864,0.193285,0.00269565,0
gauleg,no,4,20,0.734873,4.2511e+228,2.20532e+229,0
gaulag,no,4,20,1.93276,0.194786,0.0104784,0
gauleg,no,4,25,2.99119,4.2511e+228,2.20532e+229,0
gaulag,no,4,25,7.4921,0.194804,0.0105751,0
gauleg,no,4,30,8.47345,8.5022e+228,4.41064e+229,0
gaulag,no,4,30,22.8845,0.194779,0.010443,0
gauleg,no,4,40,46.5501,4.2511e+228,2.20532e+229,0
gaulag,no,4,40,137.139,0.194669,0.009873,0
badMonteCarlo,no,1,1000,0.0005,0.195478,0.0140685,0.119903
goodMonteCarlo,no,1,1000,0.000754,0.292677,0.518303,0.0666945
badMonteCarlo,no,1,10000,0.004838,0.611456,2.17202,0.453755
goodMonteCarlo,no,1,10000,0.007114,0.189957,0.0145727,0.00952986
badMonteCarlo,no,1,100000,0.048525,0.213298,0.106513,0.0290177
goodMonteCarlo,no,1,100000,0.070503,0.199185,0.0333034,0.00345428
badMonteCarlo,no,4,1000,0.000318811,0.101191,0.475055,0.0414736
goodMonteCarlo,no,4,1000,0.000615681,0.171956,0.107952,0.0261881
badMonteCarlo,no,4,10000,0.0032138,0.275857,0.431048,0.0807377
goodMonteCarlo,no,4,10000,0.00349478,0.197777,0.0259966,0.00945214
badMonteCarlo,no,4,100000,0.0286898,0.163995,0.149252,0.0172102
goodMonteCarlo,no,4,100000,0.0327756,0.197026,0.022099,0.00336386
badMonteCarlo,no,4,100000,0.0306544,0.324573,0.683771,0.0729282
goodMonteCarlo,no,4,100000,0.0386063,0.192303,0.00239912,0.00310992
badMonteCarlo,no,4,1000000,0.0950546,0.20259,0.0509635,0.0108526
goodMonteCarlo,no,4,1000000,0.196581,0.193334,0.00294711,0.00101357
badMonteCarlo,no,4,10000000,0.882426,0.191302,0.00759148,0.0032305
goodMonteCarlo,no,4,10000000,1.28723,0.192638,0.000662766,0.000322618
badMonteCarlo,no,4,100000000,8.97255,0.191167,0.00829533,0.000928208
goodMonteCarlo,no,4,100000000,13.0809,0.19268,0.000445877,0.000102159
badMonteCarlo,no,4,1000000000,87.8323,0.192343,0.00219129,0.000323025
goodMonteCarlo,no,4,1000000000,131.907,0.192748,9.30669e-05,3.272e-05
gauleg,no,1,10,0.037998,0.129834,0.326466,0
gaulag,no,1,10,0.111902,0.177081,0.0813679,0
gauleg,no,1,15,0.426286,0.199475,0.0348043,0
gaulag,no,1,15,1.48229,0.193285,0.00269565,0
gauleg,no,1,20,2.59012,0.177065,0.0814488,0
gaulag,no,1,20,6.96487,0.194786,0.0104784,0
gauleg,no,4,10,0.0162412,4.2511e+228,2.20532e+229,0
gaulag,no,4,10,0.0570154,0.177081,0.0813679,0
gauleg,no,4,15,0.134082,8.5022e+228,4.41064e+229,0
gaulag,no,4,15,0.393273,0.193285,0.00269565,0
gauleg,no,4,20,0.733935,4.2511e+228,2.20532e+229,0
gaulag,no,4,20,1.90842,0.194786,0.0104784,0
gauleg,no,4,25,3.01176,4.2511e+228,2.20532e+229,0
gaulag,no,4,25,7.47939,0.194804,0.0105751,0
gauleg,no,4,30,8.06665,4.2511e+228,2.20532e+229,0
gaulag,no,4,30,22.3714,0.194779,0.010443,0
gauleg,no,4,40,46.4406,0.18867,0.0212464,0
gaulag,no,4,40,136.272,0.194669,0.009873,0
badMonteCarlo,no,1,1000,0.000289,0.0983633,0.489726,0.0439249
goodMonteCarlo,no,1,1000,0.000442,0.15918,0.174231,0.0245132
badMonteCarlo,no,1,10000,0.00287,0.175388,0.09015,0.0697335
goodMonteCarlo,no,1,10000,0.004258,0.205514,0.0661315,0.0114895
badMonteCarlo,no,1,100000,0.029693,0.178799,0.0724544,0.0141992
goodMonteCarlo,no,1,100000,0.041994,0.194853,0.0108265,0.00361607
badMonteCarlo,no,4,1000,0.000460297,0.0955439,0.504352,0.0407647
goodMonteCarlo,no,4,1000,0.000701836,0.162438,0.157327,0.0200124
badMonteCarlo,no,4,10000,0.00239281,0.114303,0.407036,0.0237075
goodMonteCarlo,no,4,10000,0.00497165,0.186079,0.0346907,0.00863178
badMonteCarlo,no,4,100000,0.0283906,0.169692,0.1197,0.0156298
goodMonteCarlo,no,4,100000,0.0248632,0.18885,0.0203145,0.00282869
badMonteCarlo,no,4,100000,0.0275298,0.22499,0.167167,0.0314861
goodMonteCarlo,no,4,100000,0.0269427,0.204102,0.058809,0.00479287
badMonteCarlo,no,4,1000000,0.107908,0.197616,0.025161,0.00897224
goodMonteCarlo,no,4,1000000,0.190115,0.192892,0.000655881,0.00100659
badMonteCarlo,no,4,10000000,0.889025,0.188681,0.0211889,0.00265971
goodMonteCarlo,no,4,10000000,1.2825,0.192563,0.00105203,0.000322353
badMonteCarlo,no,4,100000000,9.00745,0.190242,0.0130934,0.000915072
goodMonteCarlo,no,4,100000000,13.1982,0.192775,4.73872e-05,0.000103262
badMonteCarlo,no,4,1000000000,87.2191,0.192279,0.0025262,0.000378265
goodMonteCarlo,no,4,1000000000,132.197,0.192732,0.000175952,3.28583e-05
gauleg,no,1,10,0.039686,0.129834,0.326466,0
gaulag,no,1,10,0.112139,0.177081,0.0813679,0
gauleg,no,1,15,0.698743,0.199475,0.0348043,0
gaulag,no,1,15,1.38305,0.193285,0.00269565,0
gauleg,no,1,20,2.40166,0.177065,0.0814488,0
gaulag,no,1,20,7.45168,0.194786,0.0104784,0
gauleg,no,4,10,0.0278674,0.129834,0.326466,0
gaulag,no,4,10,0.0498742,0.177081,0.0813679,0
gauleg,no,4,15,0.14032,4.2511e+228,2.20532e+229,0
gaulag,no,4,15,0.404365,0.193285,0.00269565,0
gauleg,no,4,20,0.729482,0.177065,0.0814488,0
gaulag,no,4,20,1.88136,0.194786,0.0104784,0
gauleg,no,4,25,3.0206,4.2511e+228,2.20532e+229,0
gaulag,no,4,25,7.72181,0.194804,0.0105751,0
gauleg,no,4,30,8.07707,4.2511e+228,2.20532e+229,0
gaulag,no,4,30,22.6195,0.194779,0.010443,0
gauleg,no,4,40,46.5272,1.27533e+229,6.61596e+229,0
gaulag,no,4,40,136.929,0.194669,0.009873,0
badMonteCarlo,no,1,1000,0.00029,0.653192,2.38853,0.398168
goodMonteCarlo,no,1,1000,0.000586,0.180862,0.0617514,0.0187898
badMonteCarlo,no,1,10000,0.002955,0.259634,0.346889,0.0692585
goodMonteCarlo,no,1,10000,0.004214,0.199674,0.0358398,0.00995221
badMonteCarlo,no,1,100000,0.029486,0.151079,0.216253,0.0103156
goodMonteCarlo,no,1,100000,0.043469,0.189977,0.0144659,0.00287747
badMonteCarlo,no,4,1000,0.000305675,0.182782,0.051792,0.0477895
goodMonteCarlo,no,4,1000,0.000636461,0.232406,0.20564,0.0356779
badMonteCarlo,no,4,10000,0.00330008,0.649546,2.36961,0.444916
goodMonteCarlo,no,4,10000,0.00487104,0.172968,0.102702,0.00736032
badMonteCarlo,no,4,100000,0.0295819,0.20472,0.062014,0.0178728
goodMonteCarlo,no,4,100000,0.0348321,0.197078,0.0223721,0.00354124
badMonteCarlo,no,4,100000,0.0278397,0.161436,0.162525,0.0143675
goodMonteCarlo,no,4,100000,0.0295481,0.18688,0.0305337,0.00287942
badMonteCarlo,no,4,1000000,0.109991,0.193997,0.00639002,0.00711388
goodMonteCarlo,no,4,1000000,0.19499,0.191626,0.00591386,0.00108389
badMonteCarlo,no,4,10000000,0.881843,0.192892,0.000655987,0.00337153
goodMonteCarlo,no,4,10000000,1.28644,0.192672,0.00048414,0.000326995
badMonteCarlo,no,4,100000000,8.93072,0.189961,0.0145491,0.000943396
goodMonteCarlo,no,4,100000000,12.9919,0.192868,0.00052806,0.000105574
badMonteCarlo,no,4,1000000000,87.0216,0.192393,0.00193596,0.000329661
goodMonteCarlo,no,4,1000000000,131.685,0.192723,0.000219292,3.28965e-05
gauleg,no,1,10,0.039778,0.129834,0.326466,0
gaulag,no,1,10,0.110344,0.177081,0.0813679,0
gauleg,no,1,15,0.472232,0.199475,0.0348043,0
gaulag,no,1,15,1.58416,0.193285,0.00269565,0
gauleg,no,1,20,2.39547,0.177065,0.0814488,0
gaulag,no,1,20,6.33277,0.194786,0.0104784,0
gauleg,no,4,10,0.0137704,0.129834,0.326466,0
gaulag,no,4,10,0.0543483,0.177081,0.0813679,0
gauleg,no,4,15,0.142569,0.199475,0.0348043,0
gaulag,no,4,15,0.398612,0.193285,0.00269565,0
gauleg,no,4,20,0.737737,4.2511e+228,2.20532e+229,0
gaulag,no,4,20,1.91701,0.194786,0.0104784,0
gauleg,no,4,25,3.23431,4.2511e+228,2.20532e+229,0
gaulag,no,4,25,7.60221,0.194804,0.0105751,0
gauleg,no,4,30,8.55523,1.27533e+229,6.61596e+229,0
gaulag,no,4,30,22.7379,0.194779,0.010443,0
gauleg,no,4,40,47.8207,8.5022e+228,4.41064e+229,0
gaulag,no,4,40,137.63,0.194669,0.009873,0
badMonteCarlo,no,1,1000,0.0003,0.0535142,0.722387,0.0164334
goodMonteCarlo,no,1,1000,0.000553,0.248603,0.289664,0.0426575
badMonteCarlo,no,1,10000,0.002863,0.196432,0.0190185,0.0480858
goodMonteCarlo,no,1,10000,0.004322,0.180427,0.0640072,0.00708905
badMonteCarlo,no,1,100000,0.029774,0.188403,0.0226344,0.0263492
goodMonteCarlo,no,1,100000,0.043782,0.190137,0.0136378,0.00303277
badMonteCarlo,no,4,1000,0.000307083,0.552871,1.8681,0.384767
goodMonteCarlo,no,4,1000,0.000657097,0.141607,0.265395,0.0148145
badMonteCarlo,no,4,10000,0.0031601,0.213953,0.109911,0.0481398
goodMonteCarlo,no,4,10000,0.00503344,0.189948,0.014619,0.0106431
badMonteCarlo,no,4,100000,0.025949,0.199401,0.0344213,0.025476
goodMonteCarlo,no,4,100000,0.0342622,0.194376,0.00835614,0.00354821
badMonteCarlo,no,4,100000,0.0304918,0.169933,0.118448,0.0153826
goodMonteCarlo,no,4,100000,0.0276532,0.192841,0.00039252,0.00322606
badMonteCarlo,no,4,1000000,0.0923583,0.208409,0.0811504,0.0148474
goodMonteCarlo,no,4,1000000,0.186213,0.193877,0.00576693,0.00106818
badMonteCarlo,no,4,10000000,0.904086,0.202886,0.0525005,0.0135217
goodMonteCarlo,no,4,10000000,1.283,0.192696,0.000360164,0.0003231
badMonteCarlo,no,4,100000000,9.06791,0.192487,0.00144547,0.00099368
goodMonteCarlo,no,4,100000000,13.5454,0.192692,0.000384717,0.000102523
badMonteCarlo,no,4,1000000000,87.9466,0.192109,0.00340529,0.000317712
goodMonteCarlo,no,4,1000000000,134.223,0.19282,0.000279123,3.30074e-05
gauleg,no,1,10,0.038177,0.129834,0.326466,0
gaulag,no,1,10,0.109868,0.177081,0.0813679,0
gauleg,no,1,15,0.425611,0.199475,0.0348043,0
gaulag,no,1,15,1.41977,0.193285,0.00269565,0
gauleg,no,1,20,2.62702,0.177065,0.0814488,0
gaulag,no,1,20,6.28897,0.194786,0.0104784,0
gauleg,no,4,10,0.0283184,8.5022e+228,4.41064e+229,0
gaulag,no,4,10,0.0655649,0.177081,0.0813679,0
gauleg,no,4,15,0.136856,8.5022e+228,4.41064e+229,0
gaulag,no,4,15,0.399784,0.193285,0.00269565,0
gauleg,no,4,20,0.734149,8.5022e+228,4.41064e+229,0
gaulag,no,4,20,1.98812,0.194786,0.0104784,0
gauleg,no,4,25,2.59699,0.18911,0.018967,0
gaulag,no,4,25,7.7322,0.194804,0.0105751,0
gauleg,no,4,30,8.7331,0.185796,0.0361583,0
gaulag,no,4,30,25.5763,0.194779,0.010443,0
gauleg,no,4,40,47.1903,0.18867,0.0212464,0
gaulag,no,4,40,140.663,0.194669,0.009873,0
badMonteCarlo,no,1,1000,0.000289,0.203183,0.0540406,0.0722489
goodMonteCarlo,no,1,1000,0.000457,0.208205,0.080094,0.0529966
badMonteCarlo,no,1,10000,0.00295,0.18034,0.0644583,0.0609771
goodMonteCarlo,no,1,10000,0.004271,0.185154,0.0394871,0.00930352
badMonteCarlo,no,1,100000,0.0286,0.180389,0.0642071,0.0155403
goodMonteCarlo,no,1,100000,0.041725,0.195807,0.0157746,0.00315524
badMonteCarlo,no,4,1000,0.000298781,0.0866737,0.550368,0.0227653
goodMonteCarlo,no,4,1000,0.000480422,0.167417,0.1315,0.0233245
badMonteCarlo,no,4,10000,0.0032201,0.472165,1.44942,0.36197
goodMonteCarlo,no,4,10000,0.00489838,0.183511,0.0480089,0.00836821
badMonteCarlo,no,4,100000,0.0251586,0.294874,0.529701,0.0601943
goodMonteCarlo,no,4,100000,0.0373848,0.194153,0.00719549,0.00322914
badMonteCarlo,no,4,100000,0.0222952,0.175091,0.0916879,0.0127988
