Omega,alpha,energy,sigma, distance
1,0.83,3.7790583,0.52131104,1.7514944
1,0.84,3.7770618,0.52229333,1.7413821
1,0.85,3.7754206,0.51610379,1.7311692
1,0.86,3.7741514,0.52040623,1.7208026
1,0.87,3.7731105,0.52821873,1.7110937
1,0.88,3.7729909,0.52056431,1.7008689
1,0.89,3.7731463,0.53193342,1.6917951
1,0.9,3.7737201,0.53116934,1.6817033
1,0.91,3.7744422,0.54591756,1.6730768
1,0.92,3.7754224,0.54368513,1.6647054
1,0.93,3.7771556,0.54095911,1.6551174
1,0.94,3.779445,0.58744668,1.6457207
1,0.95,3.7817115,0.64646993,1.6374076
1,0.96,3.7842664,0.56321877,1.6286156
1,0.97,3.7873687,0.57861123,1.6200225
1,0.98,3.7905041,0.58197547,1.6116385
1,0.99,3.7940614,0.60628136,1.603747
1,1,3.7978601,0.59784413,1.5956561
1,1.01,3.8020378,0.61282195,1.5880409
1,1.02,3.8064465,0.62267129,1.579896
1,1.03,3.8108373,0.62663667,1.5725191
1,1.04,3.8162026,0.64310741,1.5646656
1,1.05,3.8216597,0.65140275,1.5566766
1,1.06,3.8265423,0.66510669,1.5499851
1,1.07,3.8327299,0.67446828,1.542129
1,1.08,3.8381967,0.68839401,1.5356278
1,1.09,3.8444264,0.70142443,1.5282154
1,1.1,3.8505032,0.70874808,1.5212142
1,1.11,3.8569391,0.72819811,1.5146102
1,1.12,3.863636,0.73339666,1.5080598
1,1.13,3.8707366,0.74485999,1.5008603
1,1.14,3.8772571,0.7656804,1.4950883
1,1.15,3.8850767,0.77079445,1.4880298
1,1.16,3.8928771,0.78264072,1.4811731
1,1.17,3.9000567,0.796298,1.4753308
1,1.18,3.9078684,0.81726586,1.4690012
1,1.19,3.9154075,0.82122344,1.4632489
1,1.2,3.9242991,0.83493992,1.4565451
5,0.21,38.096946,19.476436,1.5572922
5,0.22,36.579568,18.497694,1.5217049
5,0.23,35.203712,17.600829,1.4882592
5,0.24,33.925402,16.764989,1.456628
5,0.25,32.758855,15.985616,1.4272538
5,0.26,31.704491,15.282947,1.3994864
5,0.27,30.721279,14.614134,1.3729376
5,0.28,29.832457,13.997397,1.3486884
5,0.29,29.003075,13.419658,1.3252561
5,0.3,28.227849,12.871097,1.3030839
5,0.31,27.513376,12.360876,1.2814817
5,0.32,26.847787,11.868214,1.2616666
5,0.33,26.221144,11.409708,1.242392
5,0.34,25.652111,10.988888,1.2238183
5,0.35,25.098798,10.566375,1.2061097
5,0.36,24.599915,10.186293,1.1891554
5,0.37,24.133976,9.8201968,1.173189
5,0.38,23.689882,9.4680098,1.1576282
5,0.39,23.267274,9.1232392,1.1428073
5,0.4,22.878945,8.805539,1.1284818
5,0.41,22.515088,8.5019776,1.114607
5,0.42,22.162316,8.2033859,1.1013467
5,0.43,21.835855,7.9156793,1.0882472
5,0.44,21.528412,7.6362424,1.0759438
5,0.45,21.238387,7.3754259,1.0639842
5,0.46,20.972219,7.1217889,1.0526711
5,0.47,20.703154,6.8741171,1.0406946
5,0.48,20.458873,6.642801,1.0298057
5,0.49,20.229225,6.4115144,1.0194899
5,0.5,20.008593,6.1897001,1.0093213
5,0.51,19.807237,5.9830458,0.99935619
5,0.52,19.611178,5.7764836,0.98969717
