Index,Energy,omega,alpha
530000,3.77242,1,0.88
531000,3.77239,1,0.88
532000,3.77228,1,0.88
533000,3.77226,1,0.88
534000,3.77226,1,0.88
535000,3.7722,1,0.88
536000,3.77216,1,0.88
537000,3.77224,1,0.88
538000,3.7722,1,0.88
539000,3.7722,1,0.88
540000,3.77215,1,0.88
541000,3.77216,1,0.88
542000,3.77214,1,0.88
543000,3.77216,1,0.88
544000,3.77223,1,0.88
545000,3.77218,1,0.88
546000,3.77209,1,0.88
547000,3.772,1,0.88
548000,3.77208,1,0.88
549000,3.77199,1,0.88
550000,3.77189,1,0.88
551000,3.77175,1,0.88
552000,3.77195,1,0.88
553000,3.77202,1,0.88
554000,3.772,1,0.88
555000,3.77193,1,0.88
556000,3.77188,1,0.88
557000,3.77186,1,0.88
558000,3.7719,1,0.88
559000,3.77205,1,0.88
560000,3.77221,1,0.88
561000,3.77215,1,0.88
562000,3.77203,1,0.88
563000,3.77206,1,0.88
564000,3.77203,1,0.88
565000,3.77211,1,0.88
566000,3.77215,1,0.88
567000,3.77208,1,0.88
568000,3.7721,1,0.88
569000,3.77213,1,0.88
570000,3.77213,1,0.88
571000,3.77224,1,0.88
572000,3.77218,1,0.88
573000,3.77234,1,0.88
574000,3.77254,1,0.88
575000,3.77259,1,0.88
576000,3.77254,1,0.88
577000,3.77259,1,0.88
578000,3.77251,1,0.88
579000,3.77245,1,0.88
580000,3.77244,1,0.88
581000,3.77241,1,0.88
582000,3.77242,1,0.88
583000,3.77233,1,0.88
584000,3.77222,1,0.88
585000,3.77231,1,0.88
586000,3.77228,1,0.88
587000,3.7722,1,0.88
588000,3.77216,1,0.88
589000,3.77211,1,0.88
590000,3.77215,1,0.88
591000,3.77223,1,0.88
592000,3.77223,1,0.88
593000,3.77224,1,0.88
594000,3.77216,1,0.88
595000,3.77214,1,0.88
596000,3.7722,1,0.88
597000,3.77208,1,0.88
598000,3.77216,1,0.88
599000,3.77213,1,0.88
600000,3.77221,1,0.88
601000,3.77218,1,0.88
602000,3.77209,1,0.88
603000,3.7721,1,0.88
604000,3.77228,1,0.88
605000,3.77226,1,0.88
606000,3.77239,1,0.88
607000,3.77235,1,0.88
608000,3.77233,1,0.88
609000,3.7723,1,0.88
610000,3.77227,1,0.88
611000,3.77237,1,0.88
612000,3.77237,1,0.88
613000,3.7724,1,0.88
614000,3.77222,1,0.88
615000,3.77215,1,0.88
616000,3.77209,1,0.88
617000,3.77206,1,0.88
618000,3.77202,1,0.88
619000,3.77208,1,0.88
620000,3.77216,1,0.88
621000,3.77215,1,0.88
622000,3.77222,1,0.88
623000,3.77217,1,0.88
624000,3.77208,1,0.88
625000,3.77215,1,0.88
626000,3.77212,1,0.88
627000,3.77208,1,0.88
628000,3.77208,1,0.88
629000,3.77213,1,0.88
630000,3.77217,1,0.88
631000,3.77217,1,0.88
632000,3.77215,1,0.88
633000,3.77215,1,0.88
634000,3.77218,1,0.88
635000,3.77219,1,0.88
636000,3.77219,1,0.88
637000,3.7722,1,0.88
638000,3.77213,1,0.88
639000,3.77214,1,0.88
640000,3.77204,1,0.88
641000,3.77205,1,0.88
642000,3.77204,1,0.88
643000,3.77199,1,0.88
644000,3.77189,1,0.88
645000,3.77189,1,0.88
646000,3.7719,1,0.88
647000,3.77181,1,0.88
648000,3.77187,1,0.88
649000,3.77182,1,0.88
650000,3.77184,1,0.88
651000,3.77185,1,0.88
652000,3.77189,1,0.88
653000,3.77186,1,0.88
654000,3.7718,1,0.88
655000,3.7718,1,0.88
656000,3.77182,1,0.88
657000,3.77182,1,0.88
658000,3.77183,1,0.88
659000,3.77192,1,0.88
660000,3.77196,1,0.88
661000,3.77194,1,0.88
662000,3.77191,1,0.88
663000,3.77194,1,0.88
664000,3.77189,1,0.88
665000,3.77198,1,0.88
666000,3.77195,1,0.88
667000,3.77193,1,0.88
668000,3.77196,1,0.88
669000,3.77205,1,0.88
670000,3.772,1,0.88
671000,3.77214,1,0.88
672000,3.77219,1,0.88
673000,3.77204,1,0.88
674000,3.77213,1,0.88
675000,3.77217,1,0.88
676000,3.77213,1,0.88
677000,3.77208,1,0.88
678000,3.77205,1,0.88
679000,3.77213,1,0.88
680000,3.77214,1,0.88
681000,3.77218,1,0.88
682000,3.77237,1,0.88
683000,3.77234,1,0.88
684000,3.7723,1,0.88
685000,3.77233,1,0.88
686000,3.7724,1,0.88
687000,3.77239,1,0.88
688000,3.77241,1,0.88
689000,3.77245,1,0.88
690000,3.77252,1,0.88
691000,3.7724,1,0.88
692000,3.77237,1,0.88
693000,3.7724,1,0.88
694000,3.77251,1,0.88
695000,3.7726,1,0.88
696000,3.7725,1,0.88
697000,3.77254,1,0.88
698000,3.77248,1,0.88
699000,3.77245,1,0.88
700000,3.77244,1,0.88
701000,3.77237,1,0.88
702000,3.77235,1,0.88
703000,3.77245,1,0.88
704000,3.77237,1,0.88
705000,3.77242,1,0.88
706000,3.77231,1,0.88
707000,3.77233,1,0.88
708000,3.77229,1,0.88
709000,3.77231,1,0.88
710000,3.7724,1,0.88
711000,3.77238,1,0.88
712000,3.77242,1,0.88
713000,3.77241,1,0.88
714000,3.77251,1,0.88
715000,3.7725,1,0.88
716000,3.77264,1,0.88
717000,3.77258,1,0.88
718000,3.77255,1,0.88
719000,3.7726,1,0.88
720000,3.77274,1,0.88
721000,3.77267,1,0.88
722000,3.77257,1,0.88
723000,3.7726,1,0.88
724000,3.77259,1,0.88
725000,3.77257,1,0.88
726000,3.7725,1,0.88
727000,3.77242,1,0.88
728000,3.77238,1,0.88
729000,3.77241,1,0.88
730000,3.77249,1,0.88
731000,3.77245,1,0.88
732000,3.77248,1,0.88
733000,3.77248,1,0.88
734000,3.7725,1,0.88
735000,3.77249,1,0.88
736000,3.77251,1,0.88
737000,3.77247,1,0.88
738000,3.77249,1,0.88
739000,3.77243,1,0.88
740000,3.77243,1,0.88
741000,3.7724,1,0.88
742000,3.77242,1,0.88
743000,3.77246,1,0.88
744000,3.77241,1,0.88
745000,3.77242,1,0.88
746000,3.77237,1,0.88
747000,3.77238,1,0.88
748000,3.77234,1,0.88
749000,3.77236,1,0.88
750000,3.77226,1,0.88
751000,3.77227,1,0.88
752000,3.77231,1,0.88
753000,3.77238,1,0.88
754000,3.77234,1,0.88
755000,3.77241,1,0.88
756000,3.77233,1,0.88
757000,3.77237,1,0.88
758000,3.77236,1,0.88
759000,3.7724,1,0.88
760000,3.77243,1,0.88
761000,3.7725,1,0.88
762000,3.77237,1,0.88
763000,3.77243,1,0.88
764000,3.77243,1,0.88
765000,3.77246,1,0.88
766000,3.77239,1,0.88
767000,3.7724,1,0.88
768000,3.77232,1,0.88
769000,3.77235,1,0.88
770000,3.77237,1,0.88
771000,3.77233,1,0.88
772000,3.77238,1,0.88
773000,3.77241,1,0.88
774000,3.77243,1,0.88
775000,3.77246,1,0.88
776000,3.77241,1,0.88
777000,3.77237,1,0.88
778000,3.7724,1,0.88
779000,3.77241,1,0.88
780000,3.77238,1,0.88
781000,3.77238,1,0.88
782000,3.77238,1,0.88
783000,3.77235,1,0.88
784000,3.77231,1,0.88
785000,3.7723,1,0.88
786000,3.77229,1,0.88
787000,3.7723,1,0.88
788000,3.77224,1,0.88
789000,3.77226,1,0.88
790000,3.7722,1,0.88
791000,3.77225,1,0.88
792000,3.77221,1,0.88
793000,3.77237,1,0.88
794000,3.77236,1,0.88
795000,3.77236,1,0.88
796000,3.7724,1,0.88
797000,3.77238,1,0.88
798000,3.77237,1,0.88
799000,3.77252,1,0.88
800000,3.77262,1,0.88
801000,3.77263,1,0.88
802000,3.77261,1,0.88
803000,3.77259,1,0.88
804000,3.7726,1,0.88
805000,3.77256,1,0.88
806000,3.77255,1,0.88
807000,3.77248,1,0.88
808000,3.77245,1,0.88
809000,3.77247,1,0.88
810000,3.77256,1,0.88
811000,3.77257,1,0.88
812000,3.77255,1,0.88
813000,3.77256,1,0.88
814000,3.77262,1,0.88
815000,3.77262,1,0.88
816000,3.77263,1,0.88
817000,3.77262,1,0.88
818000,3.77257,1,0.88
819000,3.77251,1,0.88
820000,3.77244,1,0.88
821000,3.77245,1,0.88
822000,3.77239,1,0.88
823000,3.77245,1,0.88
824000,3.77247,1,0.88
825000,3.77251,1,0.88
826000,3.77248,1,0.88
827000,3.7726,1,0.88
828000,3.7726,1,0.88
829000,3.77267,1,0.88
830000,3.77266,1,0.88
831000,3.77264,1,0.88
832000,3.77262,1,0.88
833000,3.77255,1,0.88
834000,3.77259,1,0.88
835000,3.7726,1,0.88
836000,3.77263,1,0.88
837000,3.77264,1,0.88
838000,3.77264,1,0.88
839000,3.77265,1,0.88
840000,3.77269,1,0.88
841000,3.77266,1,0.88
842000,3.77274,1,0.88
843000,3.77274,1,0.88
844000,3.7727,1,0.88
845000,3.77263,1,0.88
846000,3.77274,1,0.88
847000,3.77275,1,0.88
848000,3.77275,1,0.88
849000,3.77277,1,0.88
850000,3.77283,1,0.88
851000,3.77284,1,0.88
852000,3.77285,1,0.88
853000,3.77285,1,0.88
854000,3.77273,1,0.88
855000,3.77274,1,0.88
856000,3.77267,1,0.88
857000,3.7726,1,0.88
858000,3.77257,1,0.88
859000,3.77257,1,0.88
860000,3.77257,1,0.88
861000,3.7726,1,0.88
862000,3.77266,1,0.88
863000,3.77256,1,0.88
864000,3.77252,1,0.88
865000,3.77252,1,0.88
866000,3.77251,1,0.88
867000,3.77247,1,0.88
868000,3.7724,1,0.88
869000,3.77242,1,0.88
870000,3.77242,1,0.88
871000,3.77241,1,0.88
872000,3.77239,1,0.88
873000,3.77234,1,0.88
874000,3.77237,1,0.88
875000,3.77235,1,0.88
876000,3.77234,1,0.88
877000,3.77237,1,0.88
878000,3.77234,1,0.88
879000,3.77227,1,0.88
880000,3.77227,1,0.88
881000,3.77233,1,0.88
882000,3.77233,1,0.88
883000,3.77238,1,0.88
884000,3.77238,1,0.88
885000,3.77235,1,0.88
886000,3.77238,1,0.88
887000,3.7724,1,0.88
888000,3.77239,1,0.88
889000,3.77232,1,0.88
890000,3.77238,1,0.88
891000,3.77235,1,0.88
892000,3.77224,1,0.88
893000,3.77223,1,0.88
894000,3.77225,1,0.88
895000,3.77219,1,0.88
896000,3.77216,1,0.88
897000,3.77217,1,0.88
898000,3.7722,1,0.88
899000,3.77216,1,0.88
900000,3.77216,1,0.88
901000,3.7721,1,0.88
902000,3.77208,1,0.88
903000,3.77212,1,0.88
904000,3.77215,1,0.88
905000,3.77212,1,0.88
906000,3.77207,1,0.88
907000,3.77208,1,0.88
908000,3.77205,1,0.88
909000,3.77204,1,0.88
910000,3.77206,1,0.88
911000,3.77224,1,0.88
912000,3.77224,1,0.88
913000,3.77221,1,0.88
914000,3.77226,1,0.88
915000,3.77228,1,0.88
916000,3.7723,1,0.88
917000,3.77228,1,0.88
918000,3.77234,1,0.88
919000,3.7724,1,0.88
920000,3.77242,1,0.88
921000,3.77251,1,0.88
922000,3.77249,1,0.88
923000,3.7725,1,0.88
924000,3.77249,1,0.88
925000,3.77247,1,0.88
926000,3.77247,1,0.88
927000,3.77242,1,0.88
928000,3.77239,1,0.88
929000,3.77235,1,0.88
930000,3.77236,1,0.88
931000,3.77233,1,0.88
932000,3.77236,1,0.88
933000,3.77236,1,0.88
934000,3.77233,1,0.88
935000,3.77231,1,0.88
936000,3.77223,1,0.88
937000,3.77224,1,0.88
938000,3.77224,1,0.88
939000,3.77228,1,0.88
940000,3.77229,1,0.88
941000,3.77232,1,0.88
942000,3.77233,1,0.88
943000,3.77232,1,0.88
944000,3.77236,1,0.88
945000,3.77236,1,0.88
946000,3.77239,1,0.88
947000,3.77239,1,0.88
948000,3.77235,1,0.88
949000,3.77233,1,0.88
950000,3.77231,1,0.88
951000,3.77225,1,0.88
952000,3.77228,1,0.88
953000,3.77232,1,0.88
954000,3.77238,1,0.88
955000,3.77233,1,0.88
956000,3.77235,1,0.88
957000,3.77243,1,0.88
958000,3.77238,1,0.88
959000,3.77239,1,0.88
960000,3.77247,1,0.88
961000,3.77266,1,0.88
962000,3.77264,1,0.88
963000,3.77268,1,0.88
964000,3.7727,1,0.88
965000,3.77275,1,0.88
966000,3.77277,1,0.88
967000,3.77269,1,0.88
968000,3.77273,1,0.88
969000,3.77276,1,0.88
970000,3.77282,1,0.88
971000,3.77287,1,0.88
972000,3.77292,1,0.88
973000,3.77288,1,0.88
974000,3.77283,1,0.88
975000,3.77281,1,0.88
976000,3.77279,1,0.88
977000,3.77284,1,0.88
978000,3.77288,1,0.88
979000,3.77289,1,0.88
980000,3.77288,1,0.88
981000,3.77286,1,0.88
982000,3.77288,1,0.88
983000,3.77287,1,0.88
984000,3.77286,1,0.88
985000,3.77288,1,0.88
986000,3.77288,1,0.88
987000,3.77296,1,0.88
988000,3.77291,1,0.88
989000,3.77296,1,0.88
990000,3.77298,1,0.88
991000,3.77297,1,0.88
992000,3.77296,1,0.88
993000,3.77301,1,0.88
994000,3.773,1,0.88
995000,3.77297,1,0.88
996000,3.7729,1,0.88
