type,parrallelisation_flag,Amount_threads,N,time_use,result,relative_error,standard_deviation
goodMonteCarlo,yes,1,1000000,0.415902,0.192285,0.00249276,0.00109722
badMonteCarlo,yes,1,1000000,0.28439,0.192148,0.00320537,0.00883865
goodMonteCarlo,yes,1,1000000,0.414824,0.193719,0.00494393,0.00118174
badMonteCarlo,yes,1,10000000,2.90534,0.19472,0.010138,0.00321667
goodMonteCarlo,yes,1,10000000,4.57647,0.19268,0.000446846,0.000346256
badMonteCarlo,yes,4,1000,0.000415867,0.178778,0.0725633,0.100532
goodMonteCarlo,yes,4,1000,0.000715663,0.246296,0.277696,0.100234
badMonteCarlo,yes,4,10000,0.00314528,0.283191,0.469095,0.0896713
goodMonteCarlo,yes,4,10000,0.00506021,0.180104,0.0656829,0.00846356
badMonteCarlo,yes,4,100000,0.0241498,0.181528,0.058296,0.0192025
goodMonteCarlo,yes,4,100000,0.0285062,0.195608,0.0147424,0.0031607
badMonteCarlo,yes,4,100000,0.0257497,0.187168,0.0290397,0.0225865
goodMonteCarlo,yes,4,100000,0.035655,0.187516,0.0272348,0.00293399
badMonteCarlo,yes,4,1000000,0.0963706,0.199236,0.0335676,0.00977234
goodMonteCarlo,yes,4,1000000,0.193143,0.193124,0.00186062,0.00116871
badMonteCarlo,yes,4,10000000,0.884607,0.18749,0.0273669,0.00285854
goodMonteCarlo,yes,4,10000000,1.27527,0.192438,0.00169925,0.000323323
badMonteCarlo,yes,4,100000000,8.39365,0.191389,0.00714363,0.000959262
goodMonteCarlo,yes,4,100000000,12.5953,0.192687,0.000409052,0.00010543
badMonteCarlo,yes,4,1000000000,85.3055,0.192618,0.000765034,0.000314741
goodMonteCarlo,yes,4,1000000000,129.842,0.192727,0.000200189,3.27187e-05

gauleg,no,1,10,0.064104,0.129834,0.326466,0
gaulag,no,1,10,0.215494,0.177081,0.0813679,0
gauleg,no,1,15,0.727822,0.199475,0.0348043,0
gaulag,no,1,15,1.16577,0.193285,0.00269565,0
gauleg,no,1,20,2.40359,0.177065,0.0814488,0
gaulag,no,1,20,6.5298,0.194786,0.0104784,0
gauleg,no,1,30,27.4526,0.185796,0.0361583,0
gaulag,no,1,30,74.0149,0.194779,0.010443,0
gauleg,no,4,10,0.0320529,0.129834,0.326466,0
gaulag,no,4,10,0.0535196,0.177081,0.0813679,0
gauleg,no,4,15,0.147458,0.199475,0.0348043,0
gaulag,no,4,15,0.41801,0.193285,0.00269565,0
gauleg,no,4,20,0.730882,0.177065,0.0814488,0
gaulag,no,4,20,1.89378,0.194786,0.0104784,0
gauleg,no,4,25,2.5836,0.18911,0.018967,0
gaulag,no,4,25,7.66996,0.194804,0.0105751,0
gauleg,no,4,30,7.91636,0.185796,0.0361583,0
gaulag,no,4,30,21.6299,0.194779,0.010443,0
gauleg,no,4,40,45.6466,0.18867,0.0212464,0
gaulag,no,4,40,136.439,0.194669,0.009873,0
gauleg,no,4,45,97.142,0.190128,0.0136823,0
gaulag,no,4,45,259.844,0.194594,0.00948246,0
badMonteCarlo,no,1,1000,0.000289,0.374112,0.940758,0.270951
goodMonteCarlo,no,1,1000,0.00044,0.257369,0.335137,0.0538172
badMonteCarlo,no,1,10000,0.002923,0.475604,1.46727,0.259176
goodMonteCarlo,no,1,10000,0.004198,0.195779,0.0156319,0.01689
badMonteCarlo,no,1,100000,0.02867,0.158375,0.178406,0.0193445
goodMonteCarlo,no,1,100000,0.041882,0.197004,0.0219886,0.00414673
badMonteCarlo,no,1,1000000,0.282961,0.186515,0.0324287,0.00802782
goodMonteCarlo,no,1,1000000,0.414418,0.191061,0.00884243,0.000954935
badMonteCarlo,no,1,1000000,0.283063,0.188229,0.0235374,0.0073776
goodMonteCarlo,no,1,1000000,0.413624,0.191575,0.00617958,0.000968009
badMonteCarlo,no,1,1000000,0.28367,0.196283,0.0182458,0.00772168
goodMonteCarlo,no,1,1000000,0.413349,0.193429,0.00344121,0.00105194
badMonteCarlo,no,1,10000000,2.82913,0.188971,0.0196846,0.00290245
goodMonteCarlo,no,1,10000000,4.12497,0.192599,0.000866023,0.000325477
badMonteCarlo,no,4,1000,0.000297752,0.125404,0.349449,0.070494
goodMonteCarlo,no,4,1000,0.000582974,0.151326,0.214974,0.0165302
badMonteCarlo,no,4,10000,0.0032114,0.158455,0.17799,0.0355039
goodMonteCarlo,no,4,10000,0.00497165,0.199765,0.036308,0.00986411
badMonteCarlo,no,4,100000,0.025419,0.159346,0.173369,0.0162064
goodMonteCarlo,no,4,100000,0.0318307,0.189114,0.0189414,0.00326748
badMonteCarlo,no,4,100000,0.0254446,0.182938,0.0509815,0.0191431
goodMonteCarlo,no,4,100000,0.0248808,0.192891,0.0006485,0.0029948
badMonteCarlo,no,4,1000000,0.0996392,0.191718,0.00543764,0.0071493
goodMonteCarlo,no,4,1000000,0.194089,0.193843,0.00558625,0.00109192
badMonteCarlo,no,4,10000000,0.87597,0.191761,0.00521378,0.00317339
goodMonteCarlo,no,4,10000000,1.29468,0.193032,0.00137916,0.000327572
badMonteCarlo,no,4,100000000,8.39082,0.192987,0.0011495,0.00116674
goodMonteCarlo,no,4,100000000,12.7564,0.192787,0.000108283,0.000103722
badMonteCarlo,no,4,1000000000,85.0482,0.19233,0.00226084,0.000316583
goodMonteCarlo,no,4,1000000000,129.698,0.192713,0.000272403,3.30608e-05
gauleg,no,1,10,0.038416,0.129834,0.326466,0
gaulag,no,1,10,0.108471,0.177081,0.0813679,0
gauleg,no,1,15,0.42676,0.199475,0.0348043,0
gaulag,no,1,15,1.11874,0.193285,0.00269565,0
gauleg,no,1,20,2.39557,0.177065,0.0814488,0
gaulag,no,1,20,6.39432,0.194786,0.0104784,0
gauleg,no,1,30,27.5926,0.185796,0.0361583,0
gaulag,no,1,30,71.1495,0.194779,0.010443,0
gauleg,no,4,10,0.0165384,0.129834,0.326466,0
gaulag,no,4,10,0.0680786,0.177081,0.0813679,0
gauleg,no,4,15,0.136178,0.199475,0.0348043,0
gaulag,no,4,15,0.40399,0.193285,0.00269565,0
gauleg,no,4,20,0.726318,0.177065,0.0814488,0
gaulag,no,4,20,1.87569,0.194786,0.0104784,0
gauleg,no,4,25,2.5634,0.18911,0.018967,0
gaulag,no,4,25,7.46813,0.194804,0.0105751,0
gauleg,no,4,30,7.9107,0.185796,0.0361583,0
gaulag,no,4,30,22.6912,0.194779,0.010443,0
gauleg,no,4,40,45.2889,0.18867,0.0212464,0
gaulag,no,4,40,133.852,0.194669,0.009873,0
gauleg,no,4,45,93.8806,0.190128,0.0136823,0
gaulag,no,4,45,265.117,0.194594,0.00948246,0
badMonteCarlo,no,1,1000,0.000289,0.0848086,0.560043,0.0237085
goodMonteCarlo,no,1,1000,0.000448,0.192383,0.00198435,0.0237671
badMonteCarlo,no,1,10000,0.002995,0.128518,0.333296,0.0209774
goodMonteCarlo,no,1,10000,0.004205,0.200521,0.0402338,0.0113664
badMonteCarlo,no,1,100000,0.028833,0.217054,0.126001,0.035105
goodMonteCarlo,no,1,100000,0.042119,0.192266,0.00259373,0.0031298
badMonteCarlo,no,1,1000000,0.284539,0.193035,0.00139891,0.00918463
goodMonteCarlo,no,1,1000000,0.414189,0.193587,0.00426099,0.00106562
badMonteCarlo,no,1,1000000,0.283211,0.175387,0.0901538,0.00645671
goodMonteCarlo,no,1,1000000,0.413336,0.194644,0.00974237,0.00105699
badMonteCarlo,no,1,1000000,0.283384,0.205202,0.0645134,0.00931163
goodMonteCarlo,no,1,1000000,0.413826,0.191618,0.00595518,0.000997862
badMonteCarlo,no,1,10000000,2.8276,0.187139,0.0291904,0.00265994
goodMonteCarlo,no,1,10000000,4.12944,0.192542,0.00116016,0.000315493
badMonteCarlo,no,4,1000,0.000385248,0.199792,0.0364517,0.110356
goodMonteCarlo,no,4,1000,0.000744923,0.198228,0.0283371,0.0239471
badMonteCarlo,no,4,10000,0.00321219,0.162888,0.154995,0.0334262
goodMonteCarlo,no,4,10000,0.00492288,0.191685,0.00560541,0.00853297
badMonteCarlo,no,4,100000,0.0297573,0.173755,0.0986234,0.0165251
goodMonteCarlo,no,4,100000,0.0322151,0.198927,0.0319616,0.00361362
badMonteCarlo,no,4,100000,0.010696,0.260814,0.353009,0.0712943
goodMonteCarlo,no,4,100000,0.0323709,0.197531,0.0247187,0.00519553
badMonteCarlo,no,4,1000000,0.0947929,0.209355,0.0860603,0.0150357
goodMonteCarlo,no,4,1000000,0.187521,0.190874,0.00981361,0.000976701
badMonteCarlo,no,4,10000000,0.874787,0.191307,0.00756697,0.0029827
goodMonteCarlo,no,4,10000000,1.28104,0.192615,0.0007825,0.00032411
badMonteCarlo,no,4,100000000,8.3429,0.193259,0.00255772,0.000996059
goodMonteCarlo,no,4,100000000,12.7353,0.192838,0.000375739,0.000103353
badMonteCarlo,no,4,1000000000,88.5558,0.192901,0.000704184,0.000340713
goodMonteCarlo,no,4,1000000000,135.624,0.1928,0.000177657,3.35781e-05
gauleg,no,1,10,0.038097,0.129834,0.326466,0
gaulag,no,1,10,0.108426,0.177081,0.0813679,0
gauleg,no,1,15,0.427441,0.199475,0.0348043,0
gaulag,no,1,15,1.12102,0.193285,0.00269565,0
gauleg,no,1,20,2.39355,0.177065,0.0814488,0
gaulag,no,1,20,7.29135,0.194786,0.0104784,0
gauleg,no,1,30,27.5344,0.185796,0.0361583,0
gaulag,no,1,30,71.1645,0.194779,0.010443,0
gauleg,no,4,10,0.0168517,0.129834,0.326466,0
gaulag,no,4,10,0.0563562,0.177081,0.0813679,0
gauleg,no,4,15,0.135818,0.199475,0.0348043,0
gaulag,no,4,15,0.399532,0.193285,0.00269565,0
gauleg,no,4,20,0.728156,0.177065,0.0814488,0
gaulag,no,4,20,1.88183,0.194786,0.0104784,0
gauleg,no,4,25,2.56184,0.18911,0.018967,0
gaulag,no,4,25,7.36391,0.194804,0.0105751,0
gauleg,no,4,30,7.92885,0.185796,0.0361583,0
gaulag,no,4,30,21.5577,0.194779,0.010443,0
gauleg,no,4,40,45.5026,0.18867,0.0212464,0
gaulag,no,4,40,134.194,0.194669,0.009873,0
gauleg,no,4,45,94.0964,0.190128,0.0136823,0
gaulag,no,4,45,260.073,0.194594,0.00948246,0
badMonteCarlo,no,1,1000,0.000289,0.089314,0.536671,0.0302413
goodMonteCarlo,no,1,1000,0.000444,0.221179,0.147399,0.0327602
badMonteCarlo,no,1,10000,0.002979,0.20542,0.0656452,0.0918497
